Date,Type,Title,Info,Currency,Amount,"Fees & Taxes",Net,"Tax Details"
"January 31, 2026",Fee,"Transaction fee: Shipping","Order #3965246441",USD,--,-$3.01,-$3.01,--
"January 31, 2026",Fee,"Transaction fee: Mid-Century Modern Starburst Wall Clock ...","Order #3965246441",USD,--,-$2.60,-$2.60,--
"January 31, 2026",Tax,"Sales tax paid by buyer","Order #3965246441",USD,--,-$17.26,-$17.26,--
"January 31, 2026",Fee,"Processing fee","Order #3965246441",USD,--,-$3.36,-$3.36,--
"January 31, 2026",Sale,"Payment for Order #3965246441",,USD,$103.58,--,$103.58,--
"January 31, 2026",Fee,"Listing fee","Listing #4446278361",USD,--,-$0.20,-$0.20,--
"January 31, 2026",Fee,"Listing fee","Listing #4450203064",USD,--,-$0.20,-$0.20,--
"January 31, 2026",Shipping,"Credit for USPS shipping label adjustment","Adjustment #297142773454",USD,--,$1.43,$1.43,--
"January 31, 2026",Marketing,"Etsy Ads","Bill for click-throughs to your shop on Jan 30, 2026",USD,--,-$7.50,-$7.50,--
"January 30, 2026",Fee,"Credit for transaction fee on Minimalist Wall Mount Toilet Paper Holde...","Order #3957288221",USD,--,$2.34,$2.34,--
"January 30, 2026",Fee,"Credit for listing fee","Listing #4395548247",USD,--,$0.20,$0.20,--
"January 30, 2026",Fee,"Credit for processing fee","Order #3957288221",USD,--,$1.42,$1.42,--
"January 30, 2026",Refund,"Refund for Order #3957288221",,USD,-$38.96,--,-$38.96,--
"January 30, 2026",Tax,"Refund to buyer for sales tax","Order #3957288221",USD,--,$2.97,$2.97,--
"January 30, 2026",Shipping,"USPS shipping label","Label #297862490682",USD,--,-$11.92,-$11.92,--
"January 30, 2026",Shipping,"USPS shipping label","Label #298693581027",USD,--,-$6.83,-$6.83,--
"January 30, 2026",Shipping,"USPS shipping label","Label #298633725073",USD,--,-$5.39,-$5.39,--
"January 30, 2026",Shipping,"USPS shipping label","Label #298633502385",USD,--,-$5.68,-$5.68,--
"January 30, 2026",Marketing,"Etsy Ads","Bill for click-throughs to your shop on Jan 29, 2026",USD,--,-$7.49,-$7.49,--
"January 29, 2026",Fee,"Transaction fee: Shipping","Order #3963313187",USD,--,-$0.98,-$0.98,--
"January 29, 2026",Fee,"Transaction fee: Deluxe Miniature Ski Lift Chair Ornament...","Order #3963313187",USD,--,-$1.04,-$1.04,--
"January 29, 2026",Sale,"Payment for Order #3963313187",,USD,$31.09,--,$31.09,--
"January 29, 2026",Fee,"Processing fee","Order #3963313187",USD,--,-$1.18,-$1.18,--
"January 29, 2026",Fee,"Listing fee","Listing #4410735065",USD,--,-$0.20,-$0.20,--
"January 29, 2026",Fee,"Transaction fee: Custom UFO Succulent Planter | Futuristi...","Order #3958665092",USD,--,-$2.34,-$2.34,--
"January 29, 2026",Tax,"Sales tax paid by buyer","Order #3958665092",USD,--,-$3.51,-$3.51,--
"January 29, 2026",Fee,"Processing fee","Order #3958665092",USD,--,-$1.44,-$1.44,--
"January 29, 2026",Sale,"Payment for Order #3958665092",,USD,$39.50,--,$39.50,--
"January 29, 2026",Fee,"Listing fee","Listing #4392330042",USD,--,-$0.20,-$0.20,--
"January 29, 2026",Shipping,"Asendia shipping label","Label #297749234094",USD,--,-$20.75,-$20.75,--
"January 29, 2026",Shipping,"USPS shipping label","Label #297708600668",USD,--,-$6.76,-$6.76,--
"January 29, 2026",Shipping,"USPS shipping label","Label #298551663139",USD,--,-$5.20,-$5.20,--
"January 29, 2026",Shipping,"Asendia shipping label","Label #298548872367",USD,--,-$24.47,-$24.47,--
"January 29, 2026",Shipping,"USPS shipping label","Label #297697115156",USD,--,-$12.37,-$12.37,--
"January 29, 2026",Fee,"Share & Save refund","Order #3962681995",USD,--,$0.80,$0.80,--
"January 29, 2026",Fee,"Transaction fee: Modern Ribbed Wall Sconce Light – Beige ...","Order #3962681995",USD,--,-$0.65,-$0.65,--
"January 29, 2026",Fee,"Transaction fee: Ski Gondola Table Lamp | Alpine Mountain...","Order #3962681995",USD,--,-$0.65,-$0.65,--
"January 29, 2026",Tax,"Sales tax paid by buyer","Order #3962681995",USD,--,-$1.65,-$1.65,--
"January 29, 2026",Fee,"Processing fee","Order #3962681995",USD,--,-$0.90,-$0.90,--
"January 29, 2026",Sale,"Payment for Order #3962681995",,USD,$21.64,--,$21.64,--
"January 29, 2026",Fee,"Listing fee","Listing #4426590790",USD,--,-$0.20,-$0.20,--
"January 29, 2026",Fee,"Listing fee","Listing #4414036249",USD,--,-$0.20,-$0.20,--
"January 29, 2026",Marketing,"Etsy Ads","Bill for click-throughs to your shop on Jan 28, 2026",USD,--,-$7.50,-$7.50,--
"January 29, 2026",Fee,"Transaction fee: Ski Gondola Table Lamp | Alpine Mountain...","Order #3958009368",USD,--,-$3.12,-$3.12,--
"January 29, 2026",Tax,"Sales tax paid by buyer","Order #3958009368",USD,--,-$5.06,-$5.06,--
"January 29, 2026",Fee,"Processing fee","Order #3958009368",USD,--,-$1.84,-$1.84,--
"January 29, 2026",Sale,"Payment for Order #3958009368",,USD,$53.05,--,$53.05,--
"January 29, 2026",Fee,"Listing fee","Listing #4414036249",USD,--,-$0.20,-$0.20,--
"January 29, 2026",Shipping,"USPS shipping label","Label #298534049173",USD,--,-$5.52,-$5.52,--
"January 29, 2026",Shipping,"USPS shipping label","Label #298534005525",USD,--,-$6.83,-$6.83,--
"January 28, 2026",Shipping,"USPS shipping label","Label #297676835754",USD,--,-$5.39,-$5.39,--
"January 28, 2026",Shipping,"USPS shipping label","Label #297614996598",USD,--,-$5.20,-$5.20,--
"January 28, 2026",Shipping,"USPS shipping label","Label #298461986271",USD,--,-$5.20,-$5.20,--
"January 28, 2026",Shipping,"USPS shipping label","Label #298461972773",USD,--,-$6.87,-$6.87,--
"January 28, 2026",Marketing,"Etsy Ads","Bill for click-throughs to your shop on Jan 27, 2026",USD,--,-$7.50,-$7.50,--
