Date,Type,Title,Info,Currency,Amount,"Fees & Taxes",Net,"Tax Details"
"October 31, 2025",Fee,"Transaction fee: Shipping","Order #3844871551",USD,--,-$0.99,-$0.99,--
"October 31, 2025",Fee,"Transaction fee: Modern Hourglass Wall Sconce: Woven Gril...","Order #3844871551",USD,--,-$3.22,-$3.22,--
"October 31, 2025",Tax,"Sales tax paid by buyer","Order #3844871551",USD,--,-$4.53,-$4.53,--
"October 31, 2025",Fee,"Processing fee","Order #3844871551",USD,--,-$2.33,-$2.33,--
"October 31, 2025",Sale,"Payment for Order #3844871551",,USD,$69.20,--,$69.20,--
"October 31, 2025",Fee,"Listing fee","Listing #4389525816",USD,--,-$0.20,-$0.20,--
"October 31, 2025",Marketing,"Etsy Ads","Bill for click-throughs to your shop on Oct 30, 2025",USD,--,-$2.50,-$2.50,--
"October 31, 2025",Fee,"Transaction fee: Shipping","Order #3844441783",USD,--,-$0.33,-$0.33,--
"October 31, 2025",Fee,"Transaction fee: The Ledge: Skateboard Shelf Mounts","Order #3844441783",USD,--,-$2.63,-$2.63,--
"October 31, 2025",Tax,"Sales tax paid by buyer","Order #3844441783",USD,--,-$2.43,-$2.43,--
"October 31, 2025",Sale,"Payment for Order #3844441783",,USD,$48.03,--,$48.03,--
"October 31, 2025",Fee,"Processing fee","Order #3844441783",USD,--,-$1.69,-$1.69,--
"October 31, 2025",Fee,"Listing fee","Listing #4389560293",USD,--,-$0.20,-$0.20,--
"October 31, 2025",Fee,"Listing fee","Listing #4389560293",USD,--,-$1.00,-$1.00,--
"October 30, 2025",Shipping,"USPS shipping label","Label #287610098851",USD,--,-$8.31,-$8.31,--
"October 30, 2025",Deposit,"$68.87 sent to your bank account",,USD,--,--,--,--
"October 30, 2025",Shipping,"USPS shipping label","Label #286729413416",USD,--,-$7.17,-$7.17,--
"October 30, 2025",Fee,"Listing fee","Listing #4395632104",USD,--,-$0.20,-$0.20,--
"October 30, 2025",Fee,"Listing fee","Listing #4395629670",USD,--,-$0.20,-$0.20,--
"October 30, 2025",Marketing,"Etsy Ads","Bill for click-throughs to your shop on Oct 29, 2025",USD,--,-$2.50,-$2.50,--
"October 30, 2025",Fee,"Transaction fee: Shipping","Order #3842441750",USD,--,-$0.47,-$0.47,--
"October 30, 2025",Fee,"Transaction fee: Desk Organizer Station | Custom Headphon...","Order #3842441750",USD,--,-$0.97,-$0.97,--
"October 30, 2025",Tax,"Sales tax paid by buyer","Order #3842441750",USD,--,-$1.24,-$1.24,--
"October 30, 2025",Sale,"Payment for Order #3842441750",,USD,$23.50,--,$23.50,--
"October 30, 2025",Fee,"Processing fee","Order #3842441750",USD,--,-$0.96,-$0.96,--
"October 30, 2025",Fee,"Listing fee","Listing #4389039835",USD,--,-$0.20,-$0.20,--
"October 30, 2025",Fee,"Listing fee","Listing #4395548247",USD,--,-$0.20,-$0.20,--
"October 29, 2025",Shipping,"USPS shipping label","Label #286694156180",USD,--,-$8.31,-$8.31,--
"October 29, 2025",Shipping,"USPS shipping label","Label #287526034299",USD,--,-$11.01,-$11.01,--
"October 29, 2025",Shipping,"USPS shipping label","Label #286693937372",USD,--,-$7.96,-$7.96,--
"October 29, 2025",Shipping,"USPS shipping label","Label #287525826043",USD,--,-$8.64,-$8.64,--
"October 29, 2025",Marketing,"Etsy Ads","Bill for click-throughs to your shop on Oct 28, 2025",USD,--,-$2.50,-$2.50,--
"October 28, 2025",Fee,"Transaction fee: Shipping","Order #3842146017",USD,--,-$1.17,-$1.17,--
"October 28, 2025",Fee,"Transaction fee: Modern Hourglass Wall Sconce: Beige Wove...","Order #3842146017",USD,--,-$6.43,-$6.43,--
"October 28, 2025",Tax,"Sales tax paid by buyer","Order #3842146017",USD,--,-$7.37,-$7.37,--
