Date,Type,Title,Info,Currency,Amount,"Fees & Taxes",Net,"Tax Details"
"October 28, 2025",Fee,"Processing fee","Order #3842146017",USD,--,-$3.98,-$3.98,--
"October 28, 2025",Sale,"Payment for Order #3842146017",,USD,$124.42,--,$124.42,--
"October 28, 2025",Fee,"Listing fee","Listing #4389525816",USD,--,-$0.20,-$0.20,--
"October 28, 2025",Fee,"Listing fee","Listing #4389525816",USD,--,-$0.20,-$0.20,--
"October 28, 2025",Marketing,"Etsy Ads","Bill for click-throughs to your shop on Oct 27, 2025",USD,--,-$1.55,-$1.55,--
"October 27, 2025",Fee,"Transaction fee: Shipping","Order #3840933963",USD,--,-$0.54,-$0.54,--
"October 27, 2025",Fee,"Transaction fee: Unique Spinning Photo Reel - Polaroid & ...","Order #3840933963",USD,--,-$0.78,-$0.78,--
"October 27, 2025",Tax,"Sales tax paid by buyer","Order #3840933963",USD,--,-$1.22,-$1.22,--
"October 27, 2025",Fee,"Processing fee","Order #3840933963",USD,--,-$0.90,-$0.90,--
"October 27, 2025",Sale,"Payment for Order #3840933963",,USD,$21.52,--,$21.52,--
"October 27, 2025",Fee,"Listing fee","Listing #4387205694",USD,--,-$0.20,-$0.20,--
"October 27, 2025",Deposit,"$135.85 sent to your bank account",,USD,--,--,--,--
"October 27, 2025",Marketing,"Etsy Ads","Bill for click-throughs to your shop on Oct 26, 2025",USD,--,-$3.09,-$3.09,--
"October 27, 2025",Fee,"Transaction fee: Shipping","Order #3840640815",USD,--,-$0.54,-$0.54,--
"October 27, 2025",Fee,"Transaction fee: Modern Geometric Tray | Desktop Organize...","Order #3840640815",USD,--,-$0.73,-$0.73,--
"October 27, 2025",Tax,"Sales tax paid by buyer","Order #3840640815",USD,--,-$1.18,-$1.18,--
"October 27, 2025",Fee,"Processing fee","Order #3840640815",USD,--,-$0.87,-$0.87,--
"October 27, 2025",Sale,"Payment for Order #3840640815",,USD,$20.73,--,$20.73,--
"October 27, 2025",Fee,"Listing fee","Listing #4389061120",USD,--,-$0.20,-$0.20,--
"October 27, 2025",Fee,"Transaction fee: Shipping","Order #3840626779",USD,--,-$0.86,-$0.86,--
"October 27, 2025",Fee,"Transaction fee: Modern Hourglass Wall Sconce: Beige Wove...","Order #3840626779",USD,--,-$3.17,-$3.17,--
"October 27, 2025",Tax,"Sales tax paid by buyer","Order #3840626779",USD,--,-$3.90,-$3.90,--
"October 27, 2025",Fee,"Processing fee","Order #3840626779",USD,--,-$2.22,-$2.22,--
"October 27, 2025",Sale,"Payment for Order #3840626779",,USD,$65.81,--,$65.81,--
"October 27, 2025",Fee,"Listing fee","Listing #4389525816",USD,--,-$0.20,-$0.20,--
"October 26, 2025",Fee,"Listing fee","Listing #4393433581",USD,--,-$0.20,-$0.20,--
"October 26, 2025",Marketing,"Etsy Ads","Bill for click-throughs to your shop on Oct 25, 2025",USD,--,-$5.00,-$5.00,--
"October 25, 2025",Fee,"Transaction fee: Shipping","Order #3838512695",USD,--,-$0.48,-$0.48,--
"October 25, 2025",Fee,"Transaction fee: Modern Geometric Tray | Desktop Organize...","Order #3838512695",USD,--,-$0.73,-$0.73,--
"October 25, 2025",Tax,"Sales tax paid by buyer","Order #3838512695",USD,--,-$0.95,-$0.95,--
"October 25, 2025",Fee,"Processing fee","Order #3838512695",USD,--,-$0.84,-$0.84,--
"October 25, 2025",Sale,"Payment for Order #3838512695",,USD,$19.55,--,$19.55,--
"October 25, 2025",Marketing,"Etsy Ads","Bill for click-throughs to your shop on Oct 24, 2025",USD,--,-$2.66,-$2.66,--
"October 24, 2025",Fee,"Listing fee","Listing #4389061120",USD,--,-$0.20,-$0.20,--
"October 24, 2025",Fee,"Transaction fee: Shipping","Order #3838501393",USD,--,-$0.52,-$0.52,--
"October 24, 2025",Fee,"Transaction fee: Desk Organizer Station | Custom Headphon...","Order #3838501393",USD,--,-$0.97,-$0.97,--
"October 24, 2025",Tax,"Sales tax paid by buyer","Order #3838501393",USD,--,-$1.28,-$1.28,--
"October 24, 2025",Fee,"Processing fee","Order #3838501393",USD,--,-$0.98,-$0.98,--
"October 24, 2025",Sale,"Payment for Order #3838501393",,USD,$24.23,--,$24.23,--
"October 24, 2025",Fee,"Listing fee","Listing #4389039835",USD,--,-$0.20,-$0.20,--
"October 24, 2025",Fee,"Listing fee","Listing #4392678959",USD,--,-$0.20,-$0.20,--
"October 24, 2025",Fee,"Transaction fee: Shipping","Order #3836611910",USD,--,-$0.62,-$0.62,--
"October 24, 2025",Fee,"Transaction fee: Modern Hourglass Wall Sconce: Beige Wove...","Order #3836611910",USD,--,-$3.17,-$3.17,--
"October 24, 2025",Tax,"Sales tax paid by buyer","Order #3836611910",USD,--,-$4.43,-$4.43,--
"October 24, 2025",Fee,"Processing fee","Order #3836611910",USD,--,-$2.13,-$2.13,--
"October 24, 2025",Sale,"Payment for Order #3836611910",,USD,$62.75,--,$62.75,--
"October 24, 2025",Fee,"Listing fee","Listing #4389525816",USD,--,-$0.20,-$0.20,--
"October 24, 2025",Marketing,"Etsy Ads","Bill for click-throughs to your shop on Oct 23, 2025",USD,--,-$3.76,-$3.76,--
"October 24, 2025",Fee,"Listing fee","Listing #4392330042",USD,--,-$0.20,-$0.20,--
"October 23, 2025",Fee,"Listing fee","Listing #4392223549",USD,--,-$0.20,-$0.20,--
"October 23, 2025",Fee,"Listing fee","Listing #4392208973",USD,--,-$0.20,-$0.20,--
"October 23, 2025",Marketing,"Etsy Ads","Bill for click-throughs to your shop on Oct 22, 2025",USD,--,-$3.31,-$3.31,--
"October 22, 2025",Marketing,"Etsy Ads","Bill for click-throughs to your shop on Oct 21, 2025",USD,--,-$2.06,-$2.06,--
"October 21, 2025",Marketing,"Etsy Ads","Bill for click-throughs to your shop on Oct 20, 2025",USD,--,-$0.24,-$0.24,--
"October 20, 2025",Marketing,"Etsy Ads","Bill for click-throughs to your shop on Oct 19, 2025",USD,--,-$1.19,-$1.19,--
"October 20, 2025",Fee,"Listing fee","Listing #4389989571",USD,--,-$0.20,-$0.20,--
"October 19, 2025",Fee,"Listing fee","Listing #4389851071",USD,--,-$0.20,-$0.20,--
"October 19, 2025",Fee,"Listing fee","Listing #4389818892",USD,--,-$0.20,-$0.20,--
"October 19, 2025",Fee,"Listing fee","Listing #4389560293",USD,--,-$0.20,-$0.20,--
"October 19, 2025",Fee,"Listing fee","Listing #4389525816",USD,--,-$0.20,-$0.20,--
"October 19, 2025",Fee,"Listing fee","Listing #4389514060",USD,--,-$0.20,-$0.20,--
"October 19, 2025",Fee,"Listing fee","Listing #4389521869",USD,--,-$0.20,-$0.20,--
"October 19, 2025",Fee,"Listing fee","Listing #4389496596",USD,--,-$0.20,-$0.20,--
"October 18, 2025",Fee,"Listing fee","Listing #4389061120",USD,--,-$0.20,-$0.20,--
"October 18, 2025",Fee,"Listing fee","Listing #4389054153",USD,--,-$0.20,-$0.20,--
"October 18, 2025",Marketing,"Etsy Ads","Bill for click-throughs to your shop on Oct 17, 2025",USD,--,-$0.54,-$0.54,--
"October 18, 2025",Fee,"Listing fee","Listing #4389039835",USD,--,-$0.20,-$0.20,--
"October 15, 2025",Fee,"Listing fee","Listing #4387205694",USD,--,-$0.20,-$0.20,--
"October 13, 2025",Fee,"Listing fee","Listing #4386041842",USD,--,-$0.20,-$0.20,--
"October 13, 2025",Fee,"Listing fee","Listing #4385940447",USD,--,-$0.20,-$0.20,--
