Date,Type,Title,Info,Currency,Amount,"Fees & Taxes",Net,"Tax Details"
"February 21, 2026",Shipping,"Asendia shipping label","Label #299639561948",USD,--,-$30.34,-$30.34,--
"February 21, 2026",Shipping,"USPS shipping label","Label #300392867111",USD,--,-$5.89,-$5.89,--
"February 21, 2026",Shipping,"USPS shipping label","Label #299639267700",USD,--,-$9.81,-$9.81,--
"February 21, 2026",Shipping,"Asendia shipping label","Label #300392703041",USD,--,-$34.20,-$34.20,--
"February 21, 2026",Shipping,"USPS shipping label","Label #300392691189",USD,--,-$10.64,-$10.64,--
"February 21, 2026",Shipping,"USPS shipping label","Label #300392617727",USD,--,-$10.64,-$10.64,--
"February 21, 2026",Shipping,"USPS shipping label","Label #299637807398",USD,--,-$6.51,-$6.51,--
"February 21, 2026",Shipping,"Shipsurance Package Insurance","Label #300391024791",USD,--,-$1.35,-$1.35,--
"February 21, 2026",Shipping,"Asendia shipping label","Label #300391024791",USD,--,-$29.60,-$29.60,--
"February 21, 2026",Marketing,"Etsy Ads","Bill for click-throughs to your shop on Feb 20, 2026",USD,--,-$10.00,-$10.00,--
"February 21, 2026",Fee,"Transaction fee: Shipping","Order #3980031066",USD,--,-$0.48,-$0.48,--
"February 21, 2026",Fee,"Transaction fee: Retro Cinema Marquee Sign | Arrow Lightb...","Order #3980031066",USD,--,-$1.38,-$1.38,--
"February 21, 2026",Tax,"Sales tax paid by buyer","Order #3980031066",USD,--,-$2.01,-$2.01,--
"February 21, 2026",Fee,"Processing fee","Order #3980031066",USD,--,-$1.17,-$1.17,--
"February 21, 2026",Sale,"Payment for Order #3980031066",,USD,$30.71,--,$30.71,--
"February 21, 2026",Fee,"Listing fee","Listing #4426215313",USD,--,-$0.20,-$0.20,--
"February 20, 2026",Shipping,"USPS shipping label","Label #300319837489",USD,--,-$27.65,-$27.65,--
"February 20, 2026",Shipping,"Adjustment for USPS shipping label","Adjustment #299875976203",USD,--,-$1.78,-$1.78,--
"February 20, 2026",Marketing,"Etsy Ads","Bill for click-throughs to your shop on Feb 19, 2026",USD,--,-$10.00,-$10.00,--
"February 20, 2026",Shipping,"USPS shipping label","Label #300310870821",USD,--,-$10.72,-$10.72,--
"February 20, 2026",Shipping,"USPS shipping label","Label #299558733774",USD,--,-$27.65,-$27.65,--
"February 20, 2026",Fee,"Transaction fee: Shipping","Order #3979144674",USD,--,-$1.59,-$1.59,--
"February 20, 2026",Fee,"Transaction fee: Skateboard Shelf Mounts: Floating Skateb...","Order #3979144674",USD,--,-$0.78,-$0.78,--
"February 20, 2026",Tax,"Sales tax paid by buyer","Order #3979144674",USD,--,-$7.29,-$7.29,--
"February 20, 2026",Fee,"Processing fee","Order #3979144674",USD,--,-$1.56,-$1.56,--
"February 20, 2026",Sale,"Payment for Order #3979144674",,USD,$43.75,--,$43.75,--
"February 20, 2026",Fee,"Listing fee","Listing #4389560293",USD,--,-$0.20,-$0.20,--
"February 19, 2026",Marketing,"Fee for sale made through Offsite Ads","Order #3982281407",USD,--,-$19.83,-$19.83,--
"February 19, 2026",Fee,"Listing fee","Listing #4460131881",USD,--,-$0.20,-$0.20,--
"February 19, 2026",Fee,"Transaction fee: Ski Gondola Table Lamp Rustic Cabin Deco...","Order #3982281407",USD,--,-$8.59,-$8.59,--
"February 19, 2026",Tax,"Sales tax paid by buyer","Order #3982281407",USD,--,-$7.93,-$7.93,--
"February 19, 2026",Fee,"Processing fee","Order #3982281407",USD,--,-$4.45,-$4.45,--
"February 19, 2026",Sale,"Payment for Order #3982281407",,USD,$140.10,--,$140.10,--
