Date,Type,Title,Info,Currency,Amount,Fees & Taxes,Net,Tax Details,Amount_Clean,Net_Clean,Fees_Clean,Date_Parsed,Month
"October 31, 2025",Fee,Transaction fee: Shipping,Order #3844871551,USD,--,-$0.99,-$0.99,--,0.0,-0.99,-0.99,2025-10-31,2025-10
"October 31, 2025",Fee,Transaction fee: Modern Hourglass Wall Sconce: Woven Gril...,Order #3844871551,USD,--,-$3.22,-$3.22,--,0.0,-3.22,-3.22,2025-10-31,2025-10
"October 31, 2025",Tax,Sales tax paid by buyer,Order #3844871551,USD,--,-$4.53,-$4.53,--,0.0,-4.53,-4.53,2025-10-31,2025-10
"October 31, 2025",Fee,Processing fee,Order #3844871551,USD,--,-$2.33,-$2.33,--,0.0,-2.33,-2.33,2025-10-31,2025-10
"October 31, 2025",Sale,Payment for Order #3844871551,,USD,$69.20,--,$69.20,--,69.2,69.2,0.0,2025-10-31,2025-10
"October 31, 2025",Fee,Listing fee,Listing #4389525816,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-10-31,2025-10
"October 31, 2025",Marketing,Etsy Ads,"Bill for click-throughs to your shop on Oct 30, 2025",USD,--,-$2.50,-$2.50,--,0.0,-2.5,-2.5,2025-10-31,2025-10
"October 31, 2025",Fee,Transaction fee: Shipping,Order #3844441783,USD,--,-$0.33,-$0.33,--,0.0,-0.33,-0.33,2025-10-31,2025-10
"October 31, 2025",Fee,Transaction fee: The Ledge: Skateboard Shelf Mounts,Order #3844441783,USD,--,-$2.63,-$2.63,--,0.0,-2.63,-2.63,2025-10-31,2025-10
"October 31, 2025",Tax,Sales tax paid by buyer,Order #3844441783,USD,--,-$2.43,-$2.43,--,0.0,-2.43,-2.43,2025-10-31,2025-10
"October 31, 2025",Sale,Payment for Order #3844441783,,USD,$48.03,--,$48.03,--,48.03,48.03,0.0,2025-10-31,2025-10
"October 31, 2025",Fee,Processing fee,Order #3844441783,USD,--,-$1.69,-$1.69,--,0.0,-1.69,-1.69,2025-10-31,2025-10
"October 31, 2025",Fee,Listing fee,Listing #4389560293,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-10-31,2025-10
"October 31, 2025",Fee,Listing fee,Listing #4389560293,USD,--,-$1.00,-$1.00,--,0.0,-1.0,-1.0,2025-10-31,2025-10
"October 30, 2025",Shipping,USPS shipping label,Label #287610098851,USD,--,-$8.31,-$8.31,--,0.0,-8.31,-8.31,2025-10-30,2025-10
"October 30, 2025",Deposit,$68.87 sent to your bank account,,USD,--,--,--,--,0.0,0.0,0.0,2025-10-30,2025-10
"October 30, 2025",Shipping,USPS shipping label,Label #286729413416,USD,--,-$7.17,-$7.17,--,0.0,-7.17,-7.17,2025-10-30,2025-10
"October 30, 2025",Fee,Listing fee,Listing #4395632104,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-10-30,2025-10
"October 30, 2025",Fee,Listing fee,Listing #4395629670,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-10-30,2025-10
"October 30, 2025",Marketing,Etsy Ads,"Bill for click-throughs to your shop on Oct 29, 2025",USD,--,-$2.50,-$2.50,--,0.0,-2.5,-2.5,2025-10-30,2025-10
"October 30, 2025",Fee,Transaction fee: Shipping,Order #3842441750,USD,--,-$0.47,-$0.47,--,0.0,-0.47,-0.47,2025-10-30,2025-10
"October 30, 2025",Fee,Transaction fee: Desk Organizer Station | Custom Headphon...,Order #3842441750,USD,--,-$0.97,-$0.97,--,0.0,-0.97,-0.97,2025-10-30,2025-10
"October 30, 2025",Tax,Sales tax paid by buyer,Order #3842441750,USD,--,-$1.24,-$1.24,--,0.0,-1.24,-1.24,2025-10-30,2025-10
"October 30, 2025",Sale,Payment for Order #3842441750,,USD,$23.50,--,$23.50,--,23.5,23.5,0.0,2025-10-30,2025-10
"October 30, 2025",Fee,Processing fee,Order #3842441750,USD,--,-$0.96,-$0.96,--,0.0,-0.96,-0.96,2025-10-30,2025-10
"October 30, 2025",Fee,Listing fee,Listing #4389039835,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-10-30,2025-10
"October 30, 2025",Fee,Listing fee,Listing #4395548247,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-10-30,2025-10
"October 29, 2025",Shipping,USPS shipping label,Label #286694156180,USD,--,-$8.31,-$8.31,--,0.0,-8.31,-8.31,2025-10-29,2025-10
"October 29, 2025",Shipping,USPS shipping label,Label #287526034299,USD,--,-$11.01,-$11.01,--,0.0,-11.01,-11.01,2025-10-29,2025-10
"October 29, 2025",Shipping,USPS shipping label,Label #286693937372,USD,--,-$7.96,-$7.96,--,0.0,-7.96,-7.96,2025-10-29,2025-10
"October 29, 2025",Shipping,USPS shipping label,Label #287525826043,USD,--,-$8.64,-$8.64,--,0.0,-8.64,-8.64,2025-10-29,2025-10
"October 29, 2025",Marketing,Etsy Ads,"Bill for click-throughs to your shop on Oct 28, 2025",USD,--,-$2.50,-$2.50,--,0.0,-2.5,-2.5,2025-10-29,2025-10
"October 28, 2025",Fee,Transaction fee: Shipping,Order #3842146017,USD,--,-$1.17,-$1.17,--,0.0,-1.17,-1.17,2025-10-28,2025-10
"October 28, 2025",Fee,Transaction fee: Modern Hourglass Wall Sconce: Beige Wove...,Order #3842146017,USD,--,-$6.43,-$6.43,--,0.0,-6.43,-6.43,2025-10-28,2025-10
"October 28, 2025",Tax,Sales tax paid by buyer,Order #3842146017,USD,--,-$7.37,-$7.37,--,0.0,-7.37,-7.37,2025-10-28,2025-10
"October 28, 2025",Fee,Processing fee,Order #3842146017,USD,--,-$3.98,-$3.98,--,0.0,-3.98,-3.98,2025-10-28,2025-10
"October 28, 2025",Sale,Payment for Order #3842146017,,USD,$124.42,--,$124.42,--,124.42,124.42,0.0,2025-10-28,2025-10
"October 28, 2025",Fee,Listing fee,Listing #4389525816,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-10-28,2025-10
"October 28, 2025",Fee,Listing fee,Listing #4389525816,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-10-28,2025-10
"October 28, 2025",Marketing,Etsy Ads,"Bill for click-throughs to your shop on Oct 27, 2025",USD,--,-$1.55,-$1.55,--,0.0,-1.55,-1.55,2025-10-28,2025-10
"October 27, 2025",Fee,Transaction fee: Shipping,Order #3840933963,USD,--,-$0.54,-$0.54,--,0.0,-0.54,-0.54,2025-10-27,2025-10
"October 27, 2025",Fee,Transaction fee: Unique Spinning Photo Reel - Polaroid & ...,Order #3840933963,USD,--,-$0.78,-$0.78,--,0.0,-0.78,-0.78,2025-10-27,2025-10
"October 27, 2025",Tax,Sales tax paid by buyer,Order #3840933963,USD,--,-$1.22,-$1.22,--,0.0,-1.22,-1.22,2025-10-27,2025-10
"October 27, 2025",Fee,Processing fee,Order #3840933963,USD,--,-$0.90,-$0.90,--,0.0,-0.9,-0.9,2025-10-27,2025-10
"October 27, 2025",Sale,Payment for Order #3840933963,,USD,$21.52,--,$21.52,--,21.52,21.52,0.0,2025-10-27,2025-10
"October 27, 2025",Fee,Listing fee,Listing #4387205694,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-10-27,2025-10
"October 27, 2025",Deposit,$135.85 sent to your bank account,,USD,--,--,--,--,0.0,0.0,0.0,2025-10-27,2025-10
"October 27, 2025",Marketing,Etsy Ads,"Bill for click-throughs to your shop on Oct 26, 2025",USD,--,-$3.09,-$3.09,--,0.0,-3.09,-3.09,2025-10-27,2025-10
"October 27, 2025",Fee,Transaction fee: Shipping,Order #3840640815,USD,--,-$0.54,-$0.54,--,0.0,-0.54,-0.54,2025-10-27,2025-10
"October 27, 2025",Fee,Transaction fee: Modern Geometric Tray | Desktop Organize...,Order #3840640815,USD,--,-$0.73,-$0.73,--,0.0,-0.73,-0.73,2025-10-27,2025-10
"October 27, 2025",Tax,Sales tax paid by buyer,Order #3840640815,USD,--,-$1.18,-$1.18,--,0.0,-1.18,-1.18,2025-10-27,2025-10
"October 27, 2025",Fee,Processing fee,Order #3840640815,USD,--,-$0.87,-$0.87,--,0.0,-0.87,-0.87,2025-10-27,2025-10
"October 27, 2025",Sale,Payment for Order #3840640815,,USD,$20.73,--,$20.73,--,20.73,20.73,0.0,2025-10-27,2025-10
"October 27, 2025",Fee,Listing fee,Listing #4389061120,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-10-27,2025-10
"October 27, 2025",Fee,Transaction fee: Shipping,Order #3840626779,USD,--,-$0.86,-$0.86,--,0.0,-0.86,-0.86,2025-10-27,2025-10
"October 27, 2025",Fee,Transaction fee: Modern Hourglass Wall Sconce: Beige Wove...,Order #3840626779,USD,--,-$3.17,-$3.17,--,0.0,-3.17,-3.17,2025-10-27,2025-10
"October 27, 2025",Tax,Sales tax paid by buyer,Order #3840626779,USD,--,-$3.90,-$3.90,--,0.0,-3.9,-3.9,2025-10-27,2025-10
"October 27, 2025",Fee,Processing fee,Order #3840626779,USD,--,-$2.22,-$2.22,--,0.0,-2.22,-2.22,2025-10-27,2025-10
"October 27, 2025",Sale,Payment for Order #3840626779,,USD,$65.81,--,$65.81,--,65.81,65.81,0.0,2025-10-27,2025-10
"October 27, 2025",Fee,Listing fee,Listing #4389525816,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-10-27,2025-10
"October 26, 2025",Fee,Listing fee,Listing #4393433581,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-10-26,2025-10
"October 26, 2025",Marketing,Etsy Ads,"Bill for click-throughs to your shop on Oct 25, 2025",USD,--,-$5.00,-$5.00,--,0.0,-5.0,-5.0,2025-10-26,2025-10
"October 25, 2025",Fee,Transaction fee: Shipping,Order #3838512695,USD,--,-$0.48,-$0.48,--,0.0,-0.48,-0.48,2025-10-25,2025-10
"October 25, 2025",Fee,Transaction fee: Modern Geometric Tray | Desktop Organize...,Order #3838512695,USD,--,-$0.73,-$0.73,--,0.0,-0.73,-0.73,2025-10-25,2025-10
"October 25, 2025",Tax,Sales tax paid by buyer,Order #3838512695,USD,--,-$0.95,-$0.95,--,0.0,-0.95,-0.95,2025-10-25,2025-10
"October 25, 2025",Fee,Processing fee,Order #3838512695,USD,--,-$0.84,-$0.84,--,0.0,-0.84,-0.84,2025-10-25,2025-10
"October 25, 2025",Sale,Payment for Order #3838512695,,USD,$19.55,--,$19.55,--,19.55,19.55,0.0,2025-10-25,2025-10
"October 25, 2025",Marketing,Etsy Ads,"Bill for click-throughs to your shop on Oct 24, 2025",USD,--,-$2.66,-$2.66,--,0.0,-2.66,-2.66,2025-10-25,2025-10
"October 24, 2025",Fee,Listing fee,Listing #4389061120,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-10-24,2025-10
"October 24, 2025",Fee,Transaction fee: Shipping,Order #3838501393,USD,--,-$0.52,-$0.52,--,0.0,-0.52,-0.52,2025-10-24,2025-10
"October 24, 2025",Fee,Transaction fee: Desk Organizer Station | Custom Headphon...,Order #3838501393,USD,--,-$0.97,-$0.97,--,0.0,-0.97,-0.97,2025-10-24,2025-10
"October 24, 2025",Tax,Sales tax paid by buyer,Order #3838501393,USD,--,-$1.28,-$1.28,--,0.0,-1.28,-1.28,2025-10-24,2025-10
"October 24, 2025",Fee,Processing fee,Order #3838501393,USD,--,-$0.98,-$0.98,--,0.0,-0.98,-0.98,2025-10-24,2025-10
"October 24, 2025",Sale,Payment for Order #3838501393,,USD,$24.23,--,$24.23,--,24.23,24.23,0.0,2025-10-24,2025-10
"October 24, 2025",Fee,Listing fee,Listing #4389039835,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-10-24,2025-10
"October 24, 2025",Fee,Listing fee,Listing #4392678959,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-10-24,2025-10
"October 24, 2025",Fee,Transaction fee: Shipping,Order #3836611910,USD,--,-$0.62,-$0.62,--,0.0,-0.62,-0.62,2025-10-24,2025-10
"October 24, 2025",Fee,Transaction fee: Modern Hourglass Wall Sconce: Beige Wove...,Order #3836611910,USD,--,-$3.17,-$3.17,--,0.0,-3.17,-3.17,2025-10-24,2025-10
"October 24, 2025",Tax,Sales tax paid by buyer,Order #3836611910,USD,--,-$4.43,-$4.43,--,0.0,-4.43,-4.43,2025-10-24,2025-10
"October 24, 2025",Fee,Processing fee,Order #3836611910,USD,--,-$2.13,-$2.13,--,0.0,-2.13,-2.13,2025-10-24,2025-10
"October 24, 2025",Sale,Payment for Order #3836611910,,USD,$62.75,--,$62.75,--,62.75,62.75,0.0,2025-10-24,2025-10
"October 24, 2025",Fee,Listing fee,Listing #4389525816,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-10-24,2025-10
"October 24, 2025",Marketing,Etsy Ads,"Bill for click-throughs to your shop on Oct 23, 2025",USD,--,-$3.76,-$3.76,--,0.0,-3.76,-3.76,2025-10-24,2025-10
"October 24, 2025",Fee,Listing fee,Listing #4392330042,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-10-24,2025-10
"October 23, 2025",Fee,Listing fee,Listing #4392223549,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-10-23,2025-10
"October 23, 2025",Fee,Listing fee,Listing #4392208973,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-10-23,2025-10
"October 23, 2025",Marketing,Etsy Ads,"Bill for click-throughs to your shop on Oct 22, 2025",USD,--,-$3.31,-$3.31,--,0.0,-3.31,-3.31,2025-10-23,2025-10
"October 22, 2025",Marketing,Etsy Ads,"Bill for click-throughs to your shop on Oct 21, 2025",USD,--,-$2.06,-$2.06,--,0.0,-2.06,-2.06,2025-10-22,2025-10
"October 21, 2025",Marketing,Etsy Ads,"Bill for click-throughs to your shop on Oct 20, 2025",USD,--,-$0.24,-$0.24,--,0.0,-0.24,-0.24,2025-10-21,2025-10
"October 20, 2025",Marketing,Etsy Ads,"Bill for click-throughs to your shop on Oct 19, 2025",USD,--,-$1.19,-$1.19,--,0.0,-1.19,-1.19,2025-10-20,2025-10
"October 20, 2025",Fee,Listing fee,Listing #4389989571,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-10-20,2025-10
"October 19, 2025",Fee,Listing fee,Listing #4389851071,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-10-19,2025-10
"October 19, 2025",Fee,Listing fee,Listing #4389818892,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-10-19,2025-10
"October 19, 2025",Fee,Listing fee,Listing #4389560293,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-10-19,2025-10
"October 19, 2025",Fee,Listing fee,Listing #4389525816,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-10-19,2025-10
"October 19, 2025",Fee,Listing fee,Listing #4389514060,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-10-19,2025-10
"October 19, 2025",Fee,Listing fee,Listing #4389521869,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-10-19,2025-10
"October 19, 2025",Fee,Listing fee,Listing #4389496596,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-10-19,2025-10
"October 18, 2025",Fee,Listing fee,Listing #4389061120,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-10-18,2025-10
"October 18, 2025",Fee,Listing fee,Listing #4389054153,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-10-18,2025-10
"October 18, 2025",Marketing,Etsy Ads,"Bill for click-throughs to your shop on Oct 17, 2025",USD,--,-$0.54,-$0.54,--,0.0,-0.54,-0.54,2025-10-18,2025-10
"October 18, 2025",Fee,Listing fee,Listing #4389039835,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-10-18,2025-10
"October 15, 2025",Fee,Listing fee,Listing #4387205694,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-10-15,2025-10
"October 13, 2025",Fee,Listing fee,Listing #4386041842,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-10-13,2025-10
"October 13, 2025",Fee,Listing fee,Listing #4385940447,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-10-13,2025-10
"November 30, 2025",Tax,Tax: transaction,Order #3889636983,USD,--,-$0.04,-$0.04,--,0.0,-0.04,-0.04,2025-11-30,2025-11
"November 30, 2025",Fee,Transaction fee: Shipping,Order #3889636983,USD,--,-$0.32,-$0.32,--,0.0,-0.32,-0.32,2025-11-30,2025-11
"November 30, 2025",Fee,Transaction fee: Skateboard Shelf Mounts: Floating Skateb...,Order #3889636983,USD,--,-$0.73,-$0.73,--,0.0,-0.73,-0.73,2025-11-30,2025-11
"November 30, 2025",Tax,Sales tax paid by buyer,Order #3889636983,USD,--,-$1.09,-$1.09,--,0.0,-1.09,-1.09,2025-11-30,2025-11
"November 30, 2025",Fee,Processing fee,Order #3889636983,USD,--,-$0.77,-$0.77,--,0.0,-0.77,-0.77,2025-11-30,2025-11
"November 30, 2025",Sale,Payment for Order #3889636983,,USD,$17.25,--,$17.25,--,17.25,17.25,0.0,2025-11-30,2025-11
"November 30, 2025",Fee,Listing fee,Listing #4389560293,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-11-30,2025-11
"November 30, 2025",Tax,Tax: transaction,Order #3883506262,USD,--,-$0.07,-$0.07,--,0.0,-0.07,-0.07,2025-11-30,2025-11
"November 30, 2025",Fee,Transaction fee: Shipping,Order #3883506262,USD,--,-$0.54,-$0.54,--,0.0,-0.54,-0.54,2025-11-30,2025-11
"November 30, 2025",Fee,Transaction fee: Rotating Photo Reel | Polaroid & Instax ...,Order #3883506262,USD,--,-$1.46,-$1.46,--,0.0,-1.46,-1.46,2025-11-30,2025-11
"November 30, 2025",Tax,Sales tax paid by buyer,Order #3883506262,USD,--,-$1.74,-$1.74,--,0.0,-1.74,-1.74,2025-11-30,2025-11
"November 30, 2025",Fee,Processing fee,Order #3883506262,USD,--,-$1.23,-$1.23,--,0.0,-1.23,-1.23,2025-11-30,2025-11
"November 30, 2025",Sale,Payment for Order #3883506262,,USD,$32.54,--,$32.54,--,32.54,32.54,0.0,2025-11-30,2025-11
"November 30, 2025",Fee,Listing fee,Listing #4387205694,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-11-30,2025-11
"November 30, 2025",Tax,Tax: transaction,Order #3883133162,USD,--,-$0.12,-$0.12,--,0.0,-0.12,-0.12,2025-11-30,2025-11
"November 30, 2025",Fee,Transaction fee: Customizable Bonsai Tree Jewelry Organiz...,Order #3883133162,USD,--,-$2.44,-$2.44,--,0.0,-2.44,-2.44,2025-11-30,2025-11
"November 30, 2025",Tax,Sales tax paid by buyer,Order #3883133162,USD,--,-$3.10,-$3.10,--,0.0,-3.1,-3.1,2025-11-30,2025-11
"November 30, 2025",Fee,Processing fee,Order #3883133162,USD,--,-$1.47,-$1.47,--,0.0,-1.47,-1.47,2025-11-30,2025-11
"November 30, 2025",Sale,Payment for Order #3883133162,,USD,$40.59,--,$40.59,--,40.59,40.59,0.0,2025-11-30,2025-11
"November 30, 2025",Fee,Listing fee,Listing #4410189351,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-11-30,2025-11
"November 30, 2025",Tax,Tax: transaction,Order #3888295195,USD,--,-$0.05,-$0.05,--,0.0,-0.05,-0.05,2025-11-30,2025-11
"November 30, 2025",Fee,Transaction fee: Shipping,Order #3888295195,USD,--,-$0.80,-$0.80,--,0.0,-0.8,-0.8,2025-11-30,2025-11
"November 30, 2025",Fee,Transaction fee: Deluxe Miniature Ski Lift Chair Ornament...,Order #3888295195,USD,--,-$0.97,-$0.97,--,0.0,-0.97,-0.97,2025-11-30,2025-11
"November 30, 2025",Tax,Sales tax paid by buyer,Order #3888295195,USD,--,-$1.80,-$1.80,--,0.0,-1.8,-1.8,2025-11-30,2025-11
"November 30, 2025",Fee,Processing fee,Order #3888295195,USD,--,-$1.12,-$1.12,--,0.0,-1.12,-1.12,2025-11-30,2025-11
"November 30, 2025",Sale,Payment for Order #3888295195,,USD,$29.04,--,$29.04,--,29.04,29.04,0.0,2025-11-30,2025-11
"November 30, 2025",Fee,Listing fee,Listing #4410735065,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-11-30,2025-11
"November 30, 2025",Shipping,Adjustment for USPS shipping label,Adjustment #288693541779,USD,--,-$1.84,-$1.84,--,0.0,-1.84,-1.84,2025-11-30,2025-11
"November 30, 2025",Shipping,Credit for USPS shipping label adjustment,Adjustment #288986899174,USD,--,$1.24,$1.24,--,0.0,1.24,1.24,2025-11-30,2025-11
"November 30, 2025",Marketing,Etsy Ads,"Bill for click-throughs to your shop on Nov 29, 2025",USD,--,-$2.50,-$2.50,--,0.0,-2.5,-2.5,2025-11-30,2025-11
"November 30, 2025",Tax,Tax: transaction,Order #3881994468,USD,--,-$0.05,-$0.05,--,0.0,-0.05,-0.05,2025-11-30,2025-11
"November 30, 2025",Fee,Transaction fee: Shipping,Order #3881994468,USD,--,-$0.80,-$0.80,--,0.0,-0.8,-0.8,2025-11-30,2025-11
"November 30, 2025",Fee,Transaction fee: Deluxe Miniature Ski Lift Chair Ornament...,Order #3881994468,USD,--,-$0.97,-$0.97,--,0.0,-0.97,-0.97,2025-11-30,2025-11
"November 30, 2025",Tax,Sales tax paid by buyer,Order #3881994468,USD,--,-$1.16,-$1.16,--,0.0,-1.16,-1.16,2025-11-30,2025-11
"November 30, 2025",Sale,Payment for Order #3881994468,,USD,$28.40,--,$28.40,--,28.4,28.4,0.0,2025-11-30,2025-11
"November 30, 2025",Fee,Processing fee,Order #3881994468,USD,--,-$1.10,-$1.10,--,0.0,-1.1,-1.1,2025-11-30,2025-11
"November 30, 2025",Fee,Listing fee,Listing #4410735065,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-11-30,2025-11
"November 29, 2025",Tax,Tax: transaction,Order #3887026303,USD,--,-$0.12,-$0.12,--,0.0,-0.12,-0.12,2025-11-29,2025-11
"November 29, 2025",Fee,Transaction fee: Customizable Bonsai Tree Jewelry Organiz...,Order #3887026303,USD,--,-$2.44,-$2.44,--,0.0,-2.44,-2.44,2025-11-29,2025-11
"November 29, 2025",Tax,Sales tax paid by buyer,Order #3887026303,USD,--,-$1.69,-$1.69,--,0.0,-1.69,-1.69,2025-11-29,2025-11
"November 29, 2025",Fee,Processing fee,Order #3887026303,USD,--,-$1.43,-$1.43,--,0.0,-1.43,-1.43,2025-11-29,2025-11
"November 29, 2025",Sale,Payment for Order #3887026303,,USD,$39.18,--,$39.18,--,39.18,39.18,0.0,2025-11-29,2025-11
"November 29, 2025",Fee,Listing fee,Listing #4410189351,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-11-29,2025-11
"November 29, 2025",Tax,Tax: transaction,Order #3881707134,USD,--,-$0.02,-$0.02,--,0.0,-0.02,-0.02,2025-11-29,2025-11
"November 29, 2025",Fee,Transaction fee: Shipping,Order #3881707134,USD,--,-$0.52,-$0.52,--,0.0,-0.52,-0.52,2025-11-29,2025-11
"November 29, 2025",Fee,Transaction fee: Deluxe Miniature Ski Lift Chair Ornament...,Order #3881707134,USD,--,-$0.49,-$0.49,--,0.0,-0.49,-0.49,2025-11-29,2025-11
"November 29, 2025",Tax,Sales tax paid by buyer,Order #3881707134,USD,--,-$1.27,-$1.27,--,0.0,-1.27,-1.27,2025-11-29,2025-11
"November 29, 2025",Fee,Processing fee,Order #3881707134,USD,--,-$0.75,-$0.75,--,0.0,-0.75,-0.75,2025-11-29,2025-11
"November 29, 2025",Sale,Payment for Order #3881707134,,USD,$16.72,--,$16.72,--,16.72,16.72,0.0,2025-11-29,2025-11
"November 29, 2025",Fee,Listing fee,Listing #4410735065,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-11-29,2025-11
"November 29, 2025",Tax,Tax: transaction,Order #3881562286,USD,--,-$0.07,-$0.07,--,0.0,-0.07,-0.07,2025-11-29,2025-11
"November 29, 2025",Fee,Transaction fee: Shipping,Order #3881562286,USD,--,-$0.55,-$0.55,--,0.0,-0.55,-0.55,2025-11-29,2025-11
"November 29, 2025",Fee,Transaction fee: Rotating Photo Reel | Polaroid & Instax ...,Order #3881562286,USD,--,-$1.46,-$1.46,--,0.0,-1.46,-1.46,2025-11-29,2025-11
"November 29, 2025",Tax,Sales tax paid by buyer,Order #3881562286,USD,--,-$2.86,-$2.86,--,0.0,-2.86,-2.86,2025-11-29,2025-11
"November 29, 2025",Fee,Processing fee,Order #3881562286,USD,--,-$1.26,-$1.26,--,0.0,-1.26,-1.26,2025-11-29,2025-11
"November 29, 2025",Sale,Payment for Order #3881562286,,USD,$33.76,--,$33.76,--,33.76,33.76,0.0,2025-11-29,2025-11
"November 29, 2025",Fee,Listing fee,Listing #4387205694,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-11-29,2025-11
"November 29, 2025",Tax,Tax: transaction,Order #3881446900,USD,--,-$0.05,-$0.05,--,0.0,-0.05,-0.05,2025-11-29,2025-11
"November 29, 2025",Fee,Transaction fee: Shipping,Order #3881446900,USD,--,-$0.80,-$0.80,--,0.0,-0.8,-0.8,2025-11-29,2025-11
"November 29, 2025",Fee,Transaction fee: Deluxe Miniature Ski Lift Chair Ornament...,Order #3881446900,USD,--,-$0.97,-$0.97,--,0.0,-0.97,-0.97,2025-11-29,2025-11
"November 29, 2025",Tax,Sales tax paid by buyer,Order #3881446900,USD,--,-$1.80,-$1.80,--,0.0,-1.8,-1.8,2025-11-29,2025-11
"November 29, 2025",Sale,Payment for Order #3881446900,,USD,$29.04,--,$29.04,--,29.04,29.04,0.0,2025-11-29,2025-11
"November 29, 2025",Fee,Processing fee,Order #3881446900,USD,--,-$1.12,-$1.12,--,0.0,-1.12,-1.12,2025-11-29,2025-11
"November 29, 2025",Fee,Listing fee,Listing #4410735065,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-11-29,2025-11
"November 29, 2025",Tax,Tax: transaction,Order #3881093062,USD,--,-$0.07,-$0.07,--,0.0,-0.07,-0.07,2025-11-29,2025-11
"November 29, 2025",Fee,Transaction fee: Desk Valet & Headphone Stand | Personali...,Order #3881093062,USD,--,-$1.46,-$1.46,--,0.0,-1.46,-1.46,2025-11-29,2025-11
"November 29, 2025",Fee,Transaction fee: Shipping,Order #3881093062,USD,--,-$0.82,-$0.82,--,0.0,-0.82,-0.82,2025-11-29,2025-11
"November 29, 2025",Tax,Sales tax paid by buyer,Order #3881093062,USD,--,-$2.45,-$2.45,--,0.0,-2.45,-2.45,2025-11-29,2025-11
"November 29, 2025",Fee,Processing fee,Order #3881093062,USD,--,-$1.38,-$1.38,--,0.0,-1.38,-1.38,2025-11-29,2025-11
"November 29, 2025",Sale,Payment for Order #3881093062,,USD,$37.52,--,$37.52,--,37.52,37.52,0.0,2025-11-29,2025-11
"November 29, 2025",Fee,Listing fee,Listing #4389039835,USD,--,-$0.20,-$0.20,--,0.0,-0.2,-0.2,2025-11-29,2025-11
"November 29, 2025",Tax,Tax: transaction,Order #3886060431,USD,--,-$0.05,-$0.05,--,0.0,-0.05,-0.05,2025-11-29,2025-11
"November 29, 2025",Fee,Transaction fee: Shipping,Order #3886060431,USD,--,-$0.80,-$0.80,--,0.0,-0.8,-0.8,2025-11-29,2025-11
"November 29, 2025",Fee,Transaction fee: Deluxe Miniature Ski Lift Chair Ornament...,Order #3886060431,USD,--,-$0.97,-$0.97,--,0.0,-0.97,-0.97,2025-11-29,2025-11
